"","STUDENT_ALTERNATE_ID","SCHOOL_YEAR_ID","GRADE_CODE","GENDER_CODE","ENGLISH_LEARNER_STATUS_CODE","SOCIO_ECON_STATUS_CODE","expend_per_student","Ethnicity","percentWhite","percentSPED","percentFRL","corpWhite","corpSPED","corpFRL","schoolSize","PLACEMENT_TYPE","discipline","absent"
"1",11999147,2013,"03","M",0,"0",NA,"White",0.946886446886447,0.15018315018315,0.283882783882784,0.956342668863262,0.113673805601318,0.271828665568369,546,"0",0,2
"2",11999147,2014,"04","M",0,"0",NA,"White",0.961199294532628,0.142857142857143,0.306878306878307,0.959967320261438,0.116013071895425,0.266339869281046,567,"0",0,0
"3",11999147,2015,"05","M",0,"0",NA,"White",0.81419624217119,0.133611691022964,0.48643006263048,0.828456683878371,0.140562248995984,0.465289730349971,479,"0",0,1
"4",11999147,2016,"06","M",0,"0",NA,"White",0.81198347107438,0.152892561983471,0.518595041322314,0.823728813559322,0.148022598870057,0.507344632768362,484,"0",0,1
"5",11999147,2017,"07","M",0,"0",NA,"White",0.817204301075269,0.16989247311828,0.539784946236559,0.812642369020501,0.140660592255125,0.490888382687927,465,"0",2,0
"6",12095385,2013,"03","M",0,"1",NA,"White",0.820289855072464,0.208695652173913,0.605797101449275,0.829682365826944,0.14512595837897,0.494523548740416,345,"0",0,4.5
"7",12095385,2014,"04","M",0,"1",NA,"White",0.814024390243902,0.216463414634146,0.579268292682927,0.824631101021566,0.132803632236095,0.468785471055619,328,"1",0,5.5
"8",12095385,2015,"05","M",0,"1",NA,"White",0.81419624217119,0.133611691022964,0.48643006263048,0.828456683878371,0.140562248995984,0.465289730349971,479,"1",1,4
"9",12095385,2016,"06","M",0,"1",NA,"White",0.81198347107438,0.152892561983471,0.518595041322314,0.823728813559322,0.148022598870057,0.507344632768362,484,"0",0,17.5
"10",12095385,2017,"07","M",0,"1",NA,"White",0.673280423280423,0.144179894179894,0.481481481481481,0.637206823027719,0.11002132196162,0.491471215351812,756,"0",0,9
"11",12171204,2013,"03","F",0,"1",NA,"White",0.820289855072464,0.208695652173913,0.605797101449275,0.829682365826944,0.14512595837897,0.494523548740416,345,"0",0,16.5
"12",12171204,2014,"04","F",0,"1",NA,"White",0.814024390243902,0.216463414634146,0.579268292682927,0.824631101021566,0.132803632236095,0.468785471055619,328,"0",0,22.5
"13",12171204,2015,"05","F",0,"1",NA,"White",0.81419624217119,0.133611691022964,0.48643006263048,0.828456683878371,0.140562248995984,0.465289730349971,479,"1",1,18.5
"14",12171204,2016,"06","F",0,"1",NA,"White",0.81198347107438,0.152892561983471,0.518595041322314,0.823728813559322,0.148022598870057,0.507344632768362,484,"1",0,14
"15",12171204,2017,"07","F",0,"1",NA,"White",0.817204301075269,0.16989247311828,0.539784946236559,0.812642369020501,0.140660592255125,0.490888382687927,465,"1",1,0.5
"16",11963091,2013,"03","F",0,"0",NA,"Other",0.860162601626016,0.120325203252033,0.515447154471545,0.867378048780488,0.108231707317073,0.471798780487805,615,"0",0,7.5
"17",11963091,2014,"04","F",0,"0",NA,"Other",0.821070234113712,0.133779264214047,0.498327759197324,0.836027713625866,0.116243264049269,0.483448806774442,598,"0",0,3
"18",11963091,2015,"05","F",2,"0",NA,"Other",0.838998211091234,0.13953488372093,0.481216457960644,0.84006334125099,0.116389548693587,0.457640538400633,559,"0",0,3
"19",11963091,2016,"06","F",2,"0",NA,"Other",0.843260188087774,0.112852664576803,0.445141065830721,0.831578947368421,0.137651821862348,0.45587044534413,319,"0",0,5.5
"20",11963091,2017,"07","F",2,"0",NA,"Other",0.838709677419355,0.109677419354839,0.438709677419355,0.838658146964856,0.138178913738019,0.422523961661342,310,"0",0,24
"21",11741476,2013,"03","M",0,"0",NA,"White",0.830917874396135,0.198067632850242,0.130434782608696,0.871959409043426,0.112520519325474,0.171168482316072,414,"1",0,6
"22",11741476,2014,"04","M",0,"0",NA,"White",0.82837528604119,0.221967963386728,0.160183066361556,0.86613942589338,0.115700058582308,0.173550087873462,437,"1",0,5.5
"23",11741476,2015,"05","M",0,"0",NA,"White",0.841860465116279,0.188372093023256,0.144186046511628,0.865673779178004,0.110124588285837,0.174423600171846,430,"0",0,3
"24",11741476,2016,"06","M",0,"0",NA,"White",0.857744994731296,0.131717597471022,0.220231822971549,0.857142857142857,0.110658042744657,0.158605174353206,949,"0",0,4
"25",11741476,2017,"07","M",0,"0",NA,"White",0.857449088960343,0.138263665594855,0.211146838156484,0.854024556616644,0.116643929058663,0.155115961800819,933,"0",0,0
"26",11652620,2013,"03","F",0,"0",NA,"White",0.914035087719298,0.164912280701754,0.326315789473684,0.871959409043426,0.112520519325474,0.171168482316072,570,"0",0,1.5
"27",11652620,2014,"04","F",0,"0",NA,"White",0.881918819188192,0.186346863468635,0.308118081180812,0.86613942589338,0.115700058582308,0.173550087873462,542,"0",0,2
"28",11652620,2015,"05","F",0,"0",NA,"White",0.886524822695035,0.152482269503546,0.319148936170213,0.865673779178004,0.110124588285837,0.174423600171846,564,"0",0,3.5
"29",11652620,2016,"06","F",0,"0",NA,"White",0.857744994731296,0.131717597471022,0.220231822971549,0.857142857142857,0.110658042744657,0.158605174353206,949,"0",0,0
"30",11652620,2017,"07","F",0,"0",NA,"White",0.857449088960343,0.138263665594855,0.211146838156484,0.854024556616644,0.116643929058663,0.155115961800819,933,"0",0,2
"31",11739512,2013,"03","M",0,"0",NA,"White",0.837988826815642,0.143389199255121,0.19366852886406,0.871959409043426,0.112520519325474,0.171168482316072,537,"0",0,15
"32",11739512,2014,"04","M",0,"0",NA,"White",0.881918819188192,0.186346863468635,0.308118081180812,0.86613942589338,0.115700058582308,0.173550087873462,542,"0",0,8.5
"33",11739512,2015,"05","M",0,"0",NA,"White",0.886524822695035,0.152482269503546,0.319148936170213,0.865673779178004,0.110124588285837,0.174423600171846,564,"0",0,16.5
"34",11739512,2016,"06","M",0,"0",NA,"White",0.857744994731296,0.131717597471022,0.220231822971549,0.857142857142857,0.110658042744657,0.158605174353206,949,"0",0,6
"35",11739512,2017,"07","M",0,"0",NA,"White",0.857449088960343,0.138263665594855,0.211146838156484,0.854024556616644,0.116643929058663,0.155115961800819,933,"0",0,5.5
"36",11874091,2013,"03","F",0,"0",NA,"White",0.837988826815642,0.143389199255121,0.19366852886406,0.871959409043426,0.112520519325474,0.171168482316072,537,"0",0,2
"37",11874091,2014,"04","F",0,"0",NA,"White",0.881918819188192,0.186346863468635,0.308118081180812,0.86613942589338,0.115700058582308,0.173550087873462,542,"0",0,8.5
"38",11874091,2015,"05","F",0,"0",NA,"White",0.886524822695035,0.152482269503546,0.319148936170213,0.865673779178004,0.110124588285837,0.174423600171846,564,"0",0,3.5
"39",11874091,2016,"06","F",0,"0",NA,"White",0.857744994731296,0.131717597471022,0.220231822971549,0.857142857142857,0.110658042744657,0.158605174353206,949,"0",0,1
"40",11874091,2017,"07","F",0,"0",NA,"White",0.857449088960343,0.138263665594855,0.211146838156484,0.854024556616644,0.116643929058663,0.155115961800819,933,"0",0,8
"41",11966225,2013,"03","M",2,"1",NA,"Hispanic",0.150090415913201,0.0886075949367089,0.933092224231465,0.481501558476758,0.140262908253151,0.703584496544247,553,"0",0,1
